"Source Name"	"Protocol REF"	"Characteristics[organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[strain]"	"Term Source REF"	"Term Accession Number"	"Comment[Animal Source]"	"Characteristics[sex,http://purl.obolibrary.org/obo/PATO_0000047,EFO]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Age at Launch]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Characteristics[diet,http://www.ebi.ac.uk/efo/EFO_0002755,EFO]"	"Term Source REF"	"Term Accession Number"	"Comment[Feeding Schedule]"	"Factor Value[Spaceflight]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dissection Condition]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Light Cycle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90419,NCIT]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[habitat,http://purl.obolibrary.org/obo/ENVO_01000739,ENVO]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[duration,http://www.ebi.ac.uk/efo/EFO_0000433,EFO]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Euthanasia Chemical]"	"Term Source REF"	"Term Accession Number"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Carcass Preservation Method]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample Preservation Method]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample Storage Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Comment[LSDA Biospecimen ID]"	"Comment[LSDA Biospecimen Subject ID]"	"Sample Name"	"Comment[Original Submitted Sample Name]"	"Comment[Sample Name Description]"
"RR1_GC_M31"	"mouse habitation"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	""	""	"ad libitum"	"Ground Control"	""	""	"Upon euthanasia"	""	""	"12 h light/dark cycle"	""	""	"Rodent Habitat"	""	""	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"animal and tissue sampling"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"Mini Cold Bag to -80C freezer"	""	""	"Mini Cold Bag to -80C freezer"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5422/5427"	"445"	"Mmus_C57-6J_LVR_GC_I_Rep1_M31"	"RR1_GC_M31_LVR"	"Ground Control_Mouse31_Liver"
"RR1_GC_M32"	"mouse habitation"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	""	""	"ad libitum"	"Ground Control"	""	""	"Upon euthanasia"	""	""	"12 h light/dark cycle"	""	""	"Rodent Habitat"	""	""	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"animal and tissue sampling"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"Mini Cold Bag to -80C freezer"	""	""	"Mini Cold Bag to -80C freezer"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5422/5427"	"445"	"Mmus_C57-6J_LVR_GC_I_Rep2_M32"	"RR1_GC_M32_LVR"	"Ground Control_Mouse32_Liver"
"RR1_FLT_M21"	"mouse habitation"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	""	""	"ad libitum"	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"Upon euthanasia"	""	""	"12 h light/dark cycle"	""	""	"Rodent Habitat"	""	""	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"animal and tissue sampling"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"Mini Cold Bag to -80C freezer"	""	""	"Mini Cold Bag to -80C freezer"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5421/5425"	"426"	"Mmus_C57-6J_LVR_FLT_I_Rep1_M21"	"RR1_FLT_M21_LVR"	"Flight_Mouse21_Liver"
"RR1_FLT_M22"	"mouse habitation"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	""	""	"ad libitum"	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"Upon euthanasia"	""	""	"12 h light/dark cycle"	""	""	"Rodent Habitat"	""	""	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"animal and tissue sampling"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"Mini Cold Bag to -80C freezer"	""	""	"Mini Cold Bag to -80C freezer"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5421/5425"	"426"	"Mmus_C57-6J_LVR_FLT_I_Rep2_M22"	"RR1_FLT_M22_LVR"	"Flight_Mouse22_Liver"
"RR1_GC_M36"	"mouse habitation"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	""	""	"ad libitum"	"Ground Control"	""	""	"Carcass"	""	""	"12 h light/dark cycle"	""	""	"Rodent Habitat"	""	""	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"animal and tissue sampling"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"Mini Cold Bag to -80C freezer"	""	""	"RLT buffer homogenized and snap frozen"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5422/5427"	"445"	"Mmus_C57-6J_LVR_GC_C_Rep1_M36"	"RR1_GC_M36_LVR"	"Ground Control_Mouse36_Liver"
"RR1_GC_M37"	"mouse habitation"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	""	""	"ad libitum"	"Ground Control"	""	""	"Carcass"	""	""	"12 h light/dark cycle"	""	""	"Rodent Habitat"	""	""	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"animal and tissue sampling"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"Mini Cold Bag to -80C freezer"	""	""	"RLT buffer homogenized and snap frozen"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5422/5427"	"445"	"Mmus_C57-6J_LVR_GC_C_Rep2_M37"	"RR1_GC_M37_LVR"	"Ground Control_Mouse37_Liver"
"RR1_GC_M38"	"mouse habitation"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	""	""	"ad libitum"	"Ground Control"	""	""	"Carcass"	""	""	"12 h light/dark cycle"	""	""	"Rodent Habitat"	""	""	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"animal and tissue sampling"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"Mini Cold Bag to -80C freezer"	""	""	"RLT buffer homogenized and snap frozen"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5422/5427"	"445"	"Mmus_C57-6J_LVR_GC_C_Rep3_M38"	"RR1_GC_M38_LVR"	"Ground Control_Mouse38_Liver"
"RR1_GC_M39"	"mouse habitation"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	""	""	"ad libitum"	"Ground Control"	""	""	"Carcass"	""	""	"12 h light/dark cycle"	""	""	"Rodent Habitat"	""	""	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"animal and tissue sampling"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"Mini Cold Bag to -80C freezer"	""	""	"RLT buffer homogenized and snap frozen"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5422/5427"	"445"	"Mmus_C57-6J_LVR_GC_C_Rep4_M39"	"RR1_GC_M39_LVR"	"Ground Control_Mouse39_Liver"
"RR1_GC_M40"	"mouse habitation"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	""	""	"ad libitum"	"Ground Control"	""	""	"Carcass"	""	""	"12 h light/dark cycle"	""	""	"Rodent Habitat"	""	""	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"animal and tissue sampling"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"Mini Cold Bag to -80C freezer"	""	""	"RLT buffer homogenized and snap frozen"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5422/5427"	"445"	"Mmus_C57-6J_LVR_GC_C_Rep5_M40"	"RR1_GC_M40_LVR"	"Ground Control_Mouse40_Liver"
"RR1_FLT_M25"	"mouse habitation"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	""	""	"ad libitum"	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"Carcass"	""	""	"12 h light/dark cycle"	""	""	"Rodent Habitat"	""	""	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"animal and tissue sampling"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"Mini Cold Bag to -80C freezer"	""	""	"RLT buffer homogenized and snap frozen"	""	""	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"5421/5425"	"426"	"Mmus_C57-6J_LVR_FLT_C_Rep1_M25"	"RR1_FLT_M25_LVR"	"Flight_Mouse25_Liver"
