"Source Name"	"Sample Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Strain]"	"Term Source REF"	"Term Accession Number"	"Comment[Animal Source]"	"Characteristics[Sex]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Age at Launch]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Characteristics[Diet]"	"Comment[Feeding Schedule]"	"Characteristics[Material Type]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Factor Value[Space Mission]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spaceflight]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spike-in Quality Control]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Habitat]"	"Parameter Value[treatment]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[duration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Euthanasia Method]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Source Storage Method]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Sample Preservation Method]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample Storage Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Comment[Sample Name Description]"	"Comment[Original Submitted Sample Name]"
"CB2"	"Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep1_B2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"Taconic Biosciences"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR3 mouse habitation"	"SpaceX-8 (RR3)"	""	""	"Basal Control"	""	""	"With Spike-in"	""	""	"Vivarium Cage"	"Sham treated (control Ig-G injection)"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ketamine/xylazine/acepromazine"	""	""	"Mini Cold Bag to -80C freezer"	""	""	"RR3 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Basal Mouse 2 Liver"	"RR3_BSL_B2_LVR"
"CB4"	"Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep2_B4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"Taconic Biosciences"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR3 mouse habitation"	"SpaceX-8 (RR3)"	""	""	"Basal Control"	""	""	"With Spike-in"	""	""	"Vivarium Cage"	"Sham treated (control Ig-G injection)"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ketamine/xylazine/acepromazine"	""	""	"Mini Cold Bag to -80C freezer"	""	""	"RR3 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Basal Mouse 4 Liver"	"RR3_BSL_B4_LVR"
"CB6"	"Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep3_B6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"Taconic Biosciences"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR3 mouse habitation"	"SpaceX-8 (RR3)"	""	""	"Basal Control"	""	""	"With Spike-in"	""	""	"Vivarium Cage"	"Sham treated (control Ig-G injection)"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ketamine/xylazine/acepromazine"	""	""	"Mini Cold Bag to -80C freezer"	""	""	"RR3 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Basal Mouse 6 Liver"	"RR3_BSL_B6_LVR"
"CB7"	"Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep4_B7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"Taconic Biosciences"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR3 mouse habitation"	"SpaceX-8 (RR3)"	""	""	"Basal Control"	""	""	"With Spike-in"	""	""	"Vivarium Cage"	"Sham treated (control Ig-G injection)"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ketamine/xylazine/acepromazine"	""	""	"Mini Cold Bag to -80C freezer"	""	""	"RR3 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Basal Mouse 7 Liver"	"RR3_BSL_B7_LVR"
"CG1"	"Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep1_G1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"Taconic Biosciences"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR3 mouse habitation"	"SpaceX-8 (RR3)"	""	""	"Ground Control"	""	""	"With Spike-in"	""	""	"Rodent Habitat"	"Sham treated (control Ig-G injection)"	""	""	"39"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ketamine/xylazine/acepromazine"	""	""	"Mini Cold Bag to -80C freezer"	""	""	"RR3 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Ground Control Mouse 1 Liver"	"RR3_GC_G1_LVR"
"CG2"	"Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep2_G2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"Taconic Biosciences"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR3 mouse habitation"	"SpaceX-8 (RR3)"	""	""	"Ground Control"	""	""	"With Spike-in"	""	""	"Rodent Habitat"	"Sham treated (control Ig-G injection)"	""	""	"39"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ketamine/xylazine/acepromazine"	""	""	"Mini Cold Bag to -80C freezer"	""	""	"RR3 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Ground Control Mouse 2 Liver"	"RR3_GC_G2_LVR"
"CG5"	"Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep4_G5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"Taconic Biosciences"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR3 mouse habitation"	"SpaceX-8 (RR3)"	""	""	"Ground Control"	""	""	"With Spike-in"	""	""	"Rodent Habitat"	"Sham treated (control Ig-G injection)"	""	""	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ketamine/xylazine/acepromazine"	""	""	"Mini Cold Bag to -80C freezer"	""	""	"RR3 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Ground Control Mouse 5 Liver"	"RR3_GC_G5_LVR"
"CF1"	"Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep1_F1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"Taconic Biosciences"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR3 mouse habitation"	"SpaceX-8 (RR3)"	""	""	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"With Spike-in"	""	""	"Rodent Habitat"	"Non-treated"	""	""	"39"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ketamine/xylazine/acepromazine"	""	""	"Mini Cold Bag to -80C freezer"	""	""	"RR3 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Flight Mouse 1 liver "	"RR3_FLT_F1_LVR"
"CF2"	"Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep2_F2"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"Taconic Biosciences"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR3 mouse habitation"	"SpaceX-8 (RR3)"	""	""	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"With Spike-in"	""	""	"Rodent Habitat"	"Non-treated"	""	""	"39"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ketamine/xylazine/acepromazine"	""	""	"Mini Cold Bag to -80C freezer"	""	""	"RR3 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Flight Mouse 2 liver "	"RR3_FLT_F2_LVR"
"CF4"	"Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep4_F4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"Taconic Biosciences"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR3 mouse habitation"	"SpaceX-8 (RR3)"	""	""	"Space Flight"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D013026"	"With Spike-in"	""	""	"Rodent Habitat"	"Non-treated"	""	""	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"ketamine/xylazine/acepromazine"	""	""	"Mini Cold Bag to -80C freezer"	""	""	"RR3 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Flight Mouse 4 liver "	"RR3_FLT_F4_LVR"
