"Source Name"	"Sample Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Strain]"	"Term Source REF"	"Term Accession Number"	"Comment[Animal Source]"	"Characteristics[Sex]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Age at Launch]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Characteristics[Diet]"	"Comment[Feeding Schedule]"	"Characteristics[Material Type]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Factor Value[Space Mission]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spaceflight]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Spike-in Quality Control]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Habitat]"	"Parameter Value[treatment]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[duration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Euthanasia Method]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Source Storage Method]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Sample Preservation Method]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample Storage Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Comment[Sample Name Description]"	"Comment[Original Submitted Sample Name]"
"RR1_BSL_B4"	"Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep1_M4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR1 mouse habitation"	"SpaceX-4 (RR1)"	""	""	"Basal Control"	""	""	"With Spike-in"	""	""	"Vivarium Cage"	"Non-treated"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Mini Cold Bag to -80C freezer"	""	""	"RR1 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Basal_Mouse4_Liver"	"RR1_BSL_M4_LVR"
"RR1_BSL_B5"	"Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep2_M5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR1 mouse habitation"	"SpaceX-4 (RR1)"	""	""	"Basal Control"	""	""	"With Spike-in"	""	""	"Vivarium Cage"	"Non-treated"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Mini Cold Bag to -80C freezer"	""	""	"RR1 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Basal_Mouse5_Liver"	"RR1_BSL_M5_LVR"
"RR1_BSL_B7"	"Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep3_M7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR1 mouse habitation"	"SpaceX-4 (RR1)"	""	""	"Basal Control"	""	""	"With Spike-in"	""	""	"Vivarium Cage"	"Non-treated"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Mini Cold Bag to -80C freezer"	""	""	"RR1 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Basal_Mouse7_Liver"	"RR1_BSL_M7_LVR"
"RR1_BSL_B8"	"Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep4_M8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR1 mouse habitation"	"SpaceX-4 (RR1)"	""	""	"Basal Control"	""	""	"With Spike-in"	""	""	"Vivarium Cage"	"Non-treated"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Mini Cold Bag to -80C freezer"	""	""	"RR1 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Basal_Mouse8_Liver"	"RR1_BSL_M8_LVR"
"RR1_BSL_B10"	"Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep5_M10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR1 mouse habitation"	"SpaceX-4 (RR1)"	""	""	"Basal Control"	""	""	"With Spike-in"	""	""	"Vivarium Cage"	"Non-treated"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Mini Cold Bag to -80C freezer"	""	""	"RR1 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Basal_Mouse10_Liver"	"RR1_BSL_M10_LVR"
"RR1_VIV_V16"	"Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep1_M16"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR1 mouse habitation"	"SpaceX-4 (RR1)"	""	""	"Vivarium Control"	""	""	"With Spike-in"	""	""	"Vivarium Cage"	"Non-treated"	""	""	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Mini Cold Bag to -80C freezer"	""	""	"RR1 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Vivarium_Mouse16_Liver"	"RR1_VIV_M16_LVR"
"RR1_VIV_V17"	"Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep2_M17"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR1 mouse habitation"	"SpaceX-4 (RR1)"	""	""	"Vivarium Control"	""	""	"With Spike-in"	""	""	"Vivarium Cage"	"Non-treated"	""	""	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Mini Cold Bag to -80C freezer"	""	""	"RR1 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Vivarium_Mouse17_Liver"	"RR1_VIV_M17_LVR"
"RR1_VIV_V18"	"Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep3_M18"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR1 mouse habitation"	"SpaceX-4 (RR1)"	""	""	"Vivarium Control"	""	""	"With Spike-in"	""	""	"Vivarium Cage"	"Non-treated"	""	""	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Mini Cold Bag to -80C freezer"	""	""	"RR1 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Vivarium_Mouse18_Liver"	"RR1_VIV_M18_LVR"
"RR1_VIV_V19"	"Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep4_M19"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR1 mouse habitation"	"SpaceX-4 (RR1)"	""	""	"Vivarium Control"	""	""	"With Spike-in"	""	""	"Vivarium Cage"	"Non-treated"	""	""	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Mini Cold Bag to -80C freezer"	""	""	"RR1 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Vivarium_Mouse19_Liver"	"RR1_VIV_M19_LVR"
"RR1_VIV_V20"	"Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep5_M20"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6J"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000606"	"Jackson Laboratory"	"female"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000383"	"16"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Nutrient Upgraded Rodent Food Bar (NuRFB)"	"ad libitum"	"Liver"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D008099"	"RR1 mouse habitation"	"SpaceX-4 (RR1)"	""	""	"Vivarium Control"	""	""	"With Spike-in"	""	""	"Vivarium Cage"	"Non-treated"	""	""	"37"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Euthasol"	"RXNORM"	"http://purl.bioontology.org/ontology/RXNORM/1100450"	"Mini Cold Bag to -80C freezer"	""	""	"RR1 sample collection"	"Liquid Nitrogen"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796"	"-80"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"Vivarium_Mouse20_Liver"	"RR1_VIV_M20_LVR"
