Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Comment[Animal Source]	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Diet]	Comment[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Duration]	Unit	Term Source REF	Term Accession Number	Factor Value[Euthanasia Location]	Term Source REF	Term Accession Number	Parameter Value[Light Cycle]	Protocol REF	Comment[LAR Animal Receipt Date at Scrippts]	Comment[Euthanasia Dates]	Comment[Dissection Dates]	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Preservation Method]	Unit	Term Source REF	Term Accession Number	Factor Value[Dissection Condition]	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
BL-ISS-01	RR8_LVR_BSL_ISS-T_OLD_BI1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-02	RR8_LVR_BSL_ISS-T_OLD_BI2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-03	RR8_LVR_BSL_ISS-T_OLD_BI3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-04	RR8_LVR_BSL_ISS-T_OLD_BI4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-05	RR8_LVR_BSL_ISS-T_OLD_BI5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-06	RR8_LVR_BSL_ISS-T_OLD_BI6	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-07	RR8_LVR_BSL_ISS-T_OLD_BI7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-08	RR8_LVR_BSL_ISS-T_OLD_BI8	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-09	RR8_LVR_BSL_ISS-T_OLD_BI9	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
BL-ISS-11	RR8_LVR_BSL_ISS-T_YNG_BI11	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac			Taconic Biosciences	Wild Type	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	10 to 12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar(NuRFB)	ad libitum	liver left lateral lobe	MA	http://purl.obolibrary.org/obo/MA_0001641	Animal Husbandry	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On ISS			12 h light/dark cycle	Sample Collection	Not applicable	6-Dec-18	9-Dec-19 and 7-Jan-20 to 9-Jan-20	ketamine/xylazine orverdose and exsanguination/double thoracotomy			-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Carcass			Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
