Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Comment[Animal Source]	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Diet]	Term Source REF	Term Accession Number	Comment[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Enrichment material]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Duration]	Unit	Term Source REF	Term Accession Number	Factor Value[Euthanasia Location]	Term Source REF	Term Accession Number	Factor Value[Dissection Condition]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Preservation Method]	Unit	Term Source REF	Term Accession Number	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[ALSDA Sample Name]	Comment[Launch Date]	Comment[Euthanasia Date]	Comment[Dissection Date]	Comment[ALSDA Source Name]	Comment[ALSDA Biospecimen Subject ID]	Comment[ALSDA Biospecimen ID]
LAR Baseline 2 	Mmus_C57-6T_LVR_BSL_LAR_Rep1_B2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				28.14	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver LAR-Base 2	9-Dec-17	9-Dec-17	9-Dec-17	5854	598	5904
LAR Baseline 4	Mmus_C57-6T_LVR_BSL_LAR_Rep2_B4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				27.76	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver LAR-Base 4	9-Dec-17	9-Dec-17	9-Dec-17	7870	598	5904
LAR Baseline 5	Mmus_C57-6T_LVR_BSL_LAR_Rep3_B5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				28.04	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver LAR-Base 5	9-Dec-17	9-Dec-17	9-Dec-17	7318	598	5904
LAR Baseline 10	Mmus_C57-6T_LVR_BSL_LAR_Rep4_B10	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				25.72	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver LAR-Base 10	9-Dec-17	9-Dec-17	9-Dec-17	6B5B	598	5904
LAR Baseline 6	Mmus_C57-6T_LVR_BSL_LAR_Rep5_B6	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				30.02	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver LAR-Base 6	9-Dec-17	9-Dec-17	9-Dec-17	347F	598	5904
LAR Baseline 7	Mmus_C57-6T_LVR_BSL_LAR_Rep6_B7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				23.44	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver LAR-Base 7	9-Dec-17	9-Dec-17	9-Dec-17	5C68	598	5904
LAR Baseline 8	Mmus_C57-6T_LVR_BSL_LAR_Rep7_B8	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				23.52	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver LAR-Base 8	9-Dec-17	9-Dec-17	9-Dec-17	354B	598	5904
LAR Baseline 9	Mmus_C57-6T_LVR_BSL_LAR_Rep8_B9	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				27.83	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver LAR-Base 9	9-Dec-17	9-Dec-17	9-Dec-17	3.00E+71	598	5904
LAR Baseline 1	Mmus_C57-6T_LVR_BSL_LAR_Rep9_B1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				24.42	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver LAR-Base 1	9-Dec-17	9-Dec-17	9-Dec-17	2035	598	5904
LAR Baseline 3 	Mmus_C57-6T_LVR_BSL_LAR_Rep10_B3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	MEDO	http://www.ebi.ac.uk/efo/medo/MEDO_0000006	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	36	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Basal Control			1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth			Upon euthanasia			sample collection	"Isoflurane, Thoracotomy, Cardiac Puncture"			NA				30.31	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Liver LAR-Base 3	9-Dec-17	9-Dec-17	9-Dec-17	3B18	598	5904
